domain,level,name
chennaicorporation.gov.in,local,Greater Chennai Corporation (Tamil Nadu)
chips.gov.in,central-1,Chhattisgarh infotech Promotion Society
cmkarnataka.gov.in,central-1,Chief Minister of Karnataka
cmofficehry.gov.in,central-1,Chief Minister's Office (Haryana)
cooptex.gov.in,central-1,Tamil Nadu Handloom Weavers' Cooperative Society
cseb.gov.in,central-1,Chhattisgarh State Electricity Board
ctdbihar.gov.in,central-1,Commercial Taxes Department (Bihar)
dd.gov.in,central-1,Daman and Diu
ddd.gov.in,central-1,Dadra and Nagar Haveli and Daman and Diu
dded.gov.in,central-1,Daman and Diu Electricity Department
delhi.gov.in,central-1,Delhi (National Capital Territory)
delhiexcise.gov.in,central-1,Excise Department (Delhi)
dhulepolice.gov.in,local,Dhule District Police (Maharashtra)
djb.gov.in,central-1,Delhi Jal Board
dnh.gov.in,central-1,Dadra and Nagar Haveli
dtemaharashtra.gov.in,central-1,Directorate of Technical Education (Maharashtra)
dvat.gov.in,central-1,Department of Trade and Taxes (Delhi)
dvet.gov.in,central-1,Directorate of Vocational Education and Training (Maharashtra)
dwsspunjab.gov.in,central-1,Department of Water Supply and Sanitation (Punjab)
eassemblygoa.gov.in,central-1,Goa Legislative Assembly e-Assembly
emitra.gov.in,central-1,e-Mitra citizen services (Rajasthan)
employmentbankwb.gov.in,central-1,Employment Bank (West Bengal)
eprocpbpwd.gov.in,central-1,Public Works Department e-procurement (Punjab)
eserviceshp.gov.in,central-1,e-Services portal (Himachal Pradesh)
esiwb.gov.in,central-1,Directorate of ESI Scheme (West Bengal)
finance-jharkhand.gov.in,central-1,Finance Department (Jharkhand)
gadchirolipolice.gov.in,local,Gadchiroli District Police (Maharashtra)
ghmc.gov.in,local,Greater Hyderabad Municipal Corporation (Telangana)
goa.gov.in,central-1,Goa
goadmg.gov.in,central-1,Directorate of Mines and Geology (Goa)
goaelectricity.gov.in,central-1,Electricity Department (Goa)
goaonline.gov.in,central-1,Goa Online
goaprisons.gov.in,central-1,Prisons Department (Goa)
goaspcb.gov.in,central-1,Goa State Pollution Control Board
goavidhansabha.gov.in,central-1,Goa Legislative Assembly
goawrd.gov.in,central-1,Water Resources Department (Goa)
gov.in,central,
gujarat.gov.in,central-1,Gujarat
gujaratindia.gov.in,central-1,Gujarat
gvmc.gov.in,local,Greater Visakhapatnam Municipal Corporation (Andhra Pradesh)
hartrans.gov.in,central-1,Haryana Roadways (Transport Department)
haryana.gov.in,central-1,Haryana
haryanaeprocurement.gov.in,central-1,Haryana e-procurement
haryanaeseva.gov.in,central-1,Haryana e-Seva
haryanaindustries.gov.in,central-1,Industries Department (Haryana)
haryanatransport.gov.in,central-1,Transport Department (Haryana)
herc.gov.in,central-1,Haryana Electricity Regulatory Commission
himachal.gov.in,central-1,Himachal Pradesh
hp.gov.in,central-1,Himachal Pradesh
hptax.gov.in,central-1,Excise and Taxation Department (Himachal Pradesh)
hptenders.gov.in,central-1,Himachal Pradesh e-procurement
hrmsorissa.gov.in,central-1,Human Resources Management System (Odisha)
huda.gov.in,central-1,Haryana Urban Development Authority
hyderabadwater.gov.in,local,Hyderabad Metropolitan Water Supply and Sewerage Board (Telangana)
ifmsodisha.gov.in,central-1,Integrated Financial Management System (Odisha)
igrmaharashtra.gov.in,central-1,Inspector General of Registration (Maharashtra)
investkarnataka.gov.in,central-1,Invest Karnataka
investpunjab.gov.in,central-1,Invest Punjab
itschool.gov.in,central-1,IT@School Project (Kerala)
jalandhartrafficpolice.gov.in,local,Jalandhar Traffic Police (Punjab)
jalgaonpolice.gov.in,local,Jalgaon District Police (Maharashtra)
jharkhand.gov.in,central-1,Jharkhand
jharkhandcomtax.gov.in,central-1,Commercial Taxes Department (Jharkhand)
jharkhandtenders.gov.in,central-1,Jharkhand e-procurement
jhpolice.gov.in,central-1,Jharkhand Police
jk.gov.in,central-1,Jammu and Kashmir
jkcomtax.gov.in,central-1,Commercial Taxes Department (Jammu and Kashmir)
jktenders.gov.in,central-1,Jammu and Kashmir e-procurement
jpsc.gov.in,central-1,Jharkhand Public Service Commission
karnataka.gov.in,central-1,Karnataka
kdmc.gov.in,local,Kalyan Dombivli Municipal Corporation (Maharashtra)
kerala.gov.in,central-1,Kerala
keralamvd.gov.in,central-1,Motor Vehicles Department (Kerala)
keralanews.gov.in,central-1,Information and Public Relations Department (Kerala)
keralapolice.gov.in,central-1,Kerala Police
keralapoliceacademy.gov.in,central-1,Kerala Police Academy
keralaprisons.gov.in,central-1,Prisons Department (Kerala)
keralawomen.gov.in,central-1,Kerala Women's Commission
khajane2.gov.in,central-1,Khajane-II treasury system (Karnataka)
kmvn.gov.in,central-1,Kumaon Mandal Vikas Nigam (Uttarakhand)
kopargaonmc.gov.in,local,Kopargaon Municipal Council (Maharashtra)
ksp.gov.in,central-1,Karnataka State Police
ladakh.gov.in,central-1,Ladakh
lakpds.gov.in,central-1,Public Distribution System (Lakshadweep)
lakshadweep.gov.in,central-1,Lakshadweep
lsgkerala.gov.in,central-1,Local Self Government Department (Kerala)
mahaagriiqc.gov.in,central-1,Agriculture Input Quality Control (Maharashtra)
mahafireservice.gov.in,central-1,Maharashtra Fire Services
mahagst.gov.in,central-1,Goods and Services Tax Department (Maharashtra)
mahakosh.gov.in,central-1,Mahakosh Finance Department (Maharashtra)
mahaonline.gov.in,central-1,MahaOnline e-services (Maharashtra)
maharain.gov.in,central-1,Maharain rainfall portal (Maharashtra)
maharashtra.gov.in,central-1,Maharashtra
maharashtratourism.gov.in,central-1,Maharashtra Tourism
maharojgar.gov.in,central-1,Maharojgar employment portal (Maharashtra)
mahasugarcom.gov.in,central-1,Sugar Commissionerate (Maharashtra)
mahatenders.gov.in,central-1,Maharashtra e-procurement
mahavat.gov.in,central-1,Sales Tax Department (Maharashtra)
manassembly.gov.in,central-1,Manipur Legislative Assembly
manipur.gov.in,central-1,Manipur
manipureducation.gov.in,central-1,Education Department (Manipur)
manipurtenders.gov.in,central-1,Manipur e-procurement
manipurtourism.gov.in,central-1,Manipur Tourism
manipurwomencommission.gov.in,central-1,Manipur State Commission for Women
mcgm.gov.in,local,Municipal Corporation of Greater Mumbai (Maharashtra)
meeseva.gov.in,central-1,MeeSeva e-services (Telangana/Andhra Pradesh)
meghalaya.gov.in,central-1,Meghalaya
meghalayaonline.gov.in,central-1,Meghalaya Online
meghalayatenders.gov.in,central-1,Meghalaya e-procurement
mhada.gov.in,central-1,Maharashtra Housing and Area Development Authority
mizoram.gov.in,central-1,Mizoram
mizoramtenders.gov.in,central-1,Mizoram e-procurement
mn.gov.in,central-1,Manipur
mp.gov.in,central-1,Madhya Pradesh
mpanashik.gov.in,central-1,Maharashtra Police Academy Nashik
mpcb.gov.in,central-1,Maharashtra Pollution Control Board
mpenagarpalika.gov.in,central-1,e-Nagarpalika urban services (Madhya Pradesh)
mpeproc.gov.in,central-1,Madhya Pradesh e-procurement
mpforest.gov.in,central-1,Forest Department (Madhya Pradesh)
mponline.gov.in,central-1,MPOnline e-services (Madhya Pradesh)
mpsc.gov.in,central-1,Maharashtra Public Service Commission
mpwrd.gov.in,central-1,Water Resources Department (Madhya Pradesh)
nagaland.gov.in,central-1,Nagaland
nagalandtenders.gov.in,central-1,Nagaland e-procurement
nagpurgraminpolice.gov.in,local,Nagpur Rural Police (Maharashtra)
nashikruralpolice.gov.in,local,Nashik Rural Police (Maharashtra)
navimumbaipolice.gov.in,local,Navi Mumbai Police (Maharashtra)
ndmc.gov.in,local,New Delhi Municipal Council (Delhi)
nwcmc.gov.in,local,Nanded Waghala City Municipal Corporation (Maharashtra)
odisha.gov.in,central-1,Odisha
odishaonline.gov.in,central-1,Odisha Online
odishatax.gov.in,central-1,Commercial Taxes (Odisha)
odishatreasury.gov.in,central-1,Directorate of Treasuries (Odisha)
onlinevotinggujarat.gov.in,central-1,State Election Commission online voting (Gujarat)
orissa.gov.in,central-1,Odisha
orissaonline.gov.in,central-1,Odisha Online
orissatreasury.gov.in,central-1,Directorate of Treasuries (Odisha)
paschimmedinipur.gov.in,local,Paschim Medinipur District (West Bengal)
pbirrigation.gov.in,central-1,Irrigation Department (Punjab)
pcmcindia.gov.in,local,Pimpri Chinchwad Municipal Corporation (Maharashtra)
pdsodisha.gov.in,central-1,Public Distribution System (Odisha)
pmc.gov.in,local,Pune Municipal Corporation (Maharashtra)
ppsc.gov.in,central-1,Punjab Public Service Commission
prbdb.gov.in,central-1,Punjab Roads and Bridges Development Board
prdbihar.gov.in,central-1,Panchayati Raj Department (Bihar)
pscwbonline.gov.in,central-1,Public Service Commission (West Bengal)
puducherry.gov.in,central-1,Puducherry
pudutenders.gov.in,central-1,Puducherry e-procurement
puneruralpolice.gov.in,local,Pune Rural Police (Maharashtra)
punjab.gov.in,central-1,Punjab
punjabgovt.gov.in,central-1,Punjab
pwddelhi.gov.in,central-1,Public Works Department (Delhi)
pwdpunjab.gov.in,central-1,Public Works Department (Punjab)
py.gov.in,central-1,Puducherry
rajasthan.gov.in,central-1,Rajasthan
rajexcise.gov.in,central-1,Excise Department (Rajasthan)
rajivswagruhaap.gov.in,central-1,Rajiv Swagruha Corporation (Andhra Pradesh)
rajpolice.gov.in,central-1,Rajasthan Police
ranaghat.gov.in,local,Ranaghat Sub-Division (West Bengal)
rmcegov.gov.in,local,Rajkot Municipal Corporation (Gujarat)
scrbbihar.gov.in,central-1,State Crime Records Bureau (Bihar)
sikkim.gov.in,central-1,Sikkim
sikkimssdg.gov.in,central-1,Sikkim State Service Delivery Gateway
sikkimtax.gov.in,central-1,Commercial Taxes Division (Sikkim)
sikkimtender.gov.in,central-1,Sikkim e-procurement
smc.gov.in,local,Surat Municipal Corporation (Gujarat)
spark.gov.in,central-1,SPARK payroll system (Kerala)
sra.gov.in,local,Slum Rehabilitation Authority Mumbai (Maharashtra)
srapune.gov.in,local,Slum Rehabilitation Authority Pune (Maharashtra)
suratmunicipal.gov.in,local,Surat Municipal Corporation (Gujarat)
tamilnadu.gov.in,central-1,Tamil Nadu
telangana.gov.in,central-1,Telangana
telanganafin.gov.in,central-1,Finance Department (Telangana)
tendersodisha.gov.in,central-1,Odisha e-procurement
tgct.gov.in,central-1,Commercial Taxes Department (Telangana)
thanecity.gov.in,local,Thane Municipal Corporation (Maharashtra)
tn.gov.in,central-1,Tamil Nadu
tncctns.gov.in,central-1,Tamil Nadu Police CCTNS
tnregipayment.gov.in,central-1,Registration Department payments (Tamil Nadu)
tnsamb.gov.in,central-1,Tamil Nadu State Agricultural Marketing Board
tnschools.gov.in,central-1,School Education Department (Tamil Nadu)
tnsta.gov.in,central-1,State Transport Authority (Tamil Nadu)
tntenders.gov.in,central-1,Tamil Nadu e-procurement
tnvat.gov.in,central-1,Commercial Taxes Department (Tamil Nadu)
tnvelaivaaippu.gov.in,central-1,Employment and Training Department (Tamil Nadu)
trichycorporation.gov.in,local,Tiruchirappalli City Corporation (Tamil Nadu)
tripura.gov.in,central-1,Tripura
tripuratenders.gov.in,central-1,Tripura e-procurement
tspsc.gov.in,central-1,Telangana State Public Service Commission
uk.gov.in,central-1,Uttarakhand
ukpscappl.gov.in,central-1,Uttarakhand Public Service Commission
uktenders.gov.in,central-1,Uttarakhand e-procurement
ulbodisha.gov.in,central-1,Directorate of Urban Local Bodies (Odisha)
ulborissa.gov.in,central-1,Directorate of Urban Local Bodies (Odisha)
up.gov.in,central-1,Uttar Pradesh
uppolice.gov.in,central-1,Uttar Pradesh Police
upsdm.gov.in,central-1,Uttar Pradesh Skill Development Mission
uttarakhand.gov.in,central-1,Uttarakhand
vmc.gov.in,local,Vadodara Municipal Corporation (Gujarat)
vtpckarnataka.gov.in,central-1,Visvesvaraya Trade Promotion Centre (Karnataka)
vvmc.gov.in,local,Vasai Virar City Municipal Corporation (Maharashtra)
wb.gov.in,central-1,West Bengal
wbagrisnet.gov.in,central-1,Agriculture Department Agrisnet (West Bengal)
wbaitax.gov.in,central-1,Agricultural Income Tax Directorate (West Bengal)
wbboilers.gov.in,central-1,Directorate of Boilers (West Bengal)
wbcommissionerdisabilities.gov.in,central-1,Commissioner for Persons with Disabilities (West Bengal)
wbcomtax.gov.in,central-1,Commercial Taxes Directorate (West Bengal)
wbconsumers.gov.in,central-1,Consumer Affairs Department (West Bengal)
wbexcise.gov.in,central-1,Excise Directorate (West Bengal)
wbfes.gov.in,central-1,Fire and Emergency Services (West Bengal)
wbhealthscheme.gov.in,central-1,West Bengal Health Scheme
wbhousing.gov.in,central-1,Housing Department (West Bengal)
wbifms.gov.in,central-1,Integrated Financial Management System (West Bengal)
wbisgpp.gov.in,central-1,Institutional Strengthening of Gram Panchayats Programme (West Bengal)
wbkanyashree.gov.in,central-1,Kanyashree Prakalpa (West Bengal)
wblc.gov.in,central-1,Labour Commissionerate (West Bengal)
wbpds.gov.in,central-1,Public Distribution System (West Bengal)
wbphed.gov.in,central-1,Public Health Engineering Department (West Bengal)
wbregistration.gov.in,central-1,Directorate of Registration and Stamp Revenue (West Bengal)
wbsed.gov.in,central-1,School Education Department (West Bengal)
wbtdc.gov.in,central-1,West Bengal Tourism Development Corporation
wbtenders.gov.in,central-1,West Bengal e-procurement
wburbandev.gov.in,central-1,Urban Development Department (West Bengal)
westbengal.gov.in,central-1,West Bengal
yavatmalpolice.gov.in,local,Yavatmal District Police (Maharashtra)
zpkolhapur.gov.in,local,Zilla Parishad Kolhapur (Maharashtra)
