domain,level,name
defensorsantiago.gob.ar,central-1,Defensor del Pueblo de Santiago del Estero
deliberanteobera.gob.ar,local,Concejo Deliberante de Oberá (Misiones)
digestomisiones.gob.ar,central-1,Digesto Jurídico de la Provincia de Misiones
dondevotociudad.gob.ar,central-1,Dónde Voto - elecciones de la Ciudad Autónoma de Buenos Aires
dorrego.gob.ar,local,Municipalidad de Coronel Dorrego (Buenos Aires)
dprneuquen.gob.ar,central-1,Dirección Provincial de Rentas del Neuquén
economianqn.gob.ar,central-1,Ministerio de Economía de la Provincia del Neuquén
eduardocastex.gob.ar,local,Municipalidad de Eduardo Castex (La Pampa)
elchalten.gob.ar,local,Municipalidad de El Chaltén (Santa Cruz)
eleccionesciudad.gob.ar,central-1,Elecciones de la Ciudad Autónoma de Buenos Aires
electoralsde.gob.ar,central-1,Tribunal Electoral de Santiago del Estero
electoraltucuman.gob.ar,central-1,Junta Electoral de Tucumán
eltio.gob.ar,local,Municipalidad de El Tío (Córdoba)
eltrebol.gob.ar,local,Municipalidad de El Trébol (Santa Fe)
energianeuquen.gob.ar,central-1,Energía de la Provincia del Neuquén
entrerios.gob.ar,central-1,Provincia de Entre Ríos
envdiputadossantafe.gob.ar,central-1,Cámara de Diputados de la Provincia de Santa Fe
epec.gob.ar,central-1,Empresa Provincial de Energía de Córdoba
espaciosantafesino.gob.ar,central-1,Espacio Santafesino - Ministerio de Cultura de Santa Fe
estadisticaciudad.gob.ar,central-1,Dirección General de Estadística y Censos (CABA)
estebanecheverria.gob.ar,local,Municipalidad de Esteban Echeverría (Buenos Aires)
federal.gob.ar,local,Municipalidad de Federal (Entre Ríos)
formosa.gob.ar,central-1,Provincia de Formosa
gba.gob.ar,central-1,Provincia de Buenos Aires
generalarenales.gob.ar,local,Municipalidad de General Arenales (Buenos Aires)
generalroca.gob.ar,local,Municipalidad de General Roca (Río Negro)
gob.ar,central,
godoycruz.gob.ar,local,Municipalidad de Godoy Cruz (Mendoza)
gonzaleschaves.gob.ar,local,Municipalidad de Adolfo Gonzales Chaves (Buenos Aires)
gralfernandezoro.gob.ar,local,Municipalidad de General Fernández Oro (Río Negro)
haciendanqn.gob.ar,central-1,Hacienda de la Provincia del Neuquén
hcdbahiablanca.gob.ar,local,Concejo Deliberante de Bahía Blanca (Buenos Aires)
hcdcaletaolivia.gob.ar,local,Concejo Deliberante de Caleta Olivia (Santa Cruz)
hcddorrego.gob.ar,local,Concejo Deliberante de Coronel Dorrego (Buenos Aires)
hcdeduardocastex.gob.ar,local,Concejo Deliberante de Eduardo Castex (La Pampa)
hcdlanus.gob.ar,local,Concejo Deliberante de Lanús (Buenos Aires)
hcdmarcospaz.gob.ar,local,Concejo Deliberante de Marcos Paz (Buenos Aires)
hcdnecochea.gob.ar,local,Concejo Deliberante de Necochea (Buenos Aires)
hcdptosantacruz.gob.ar,local,Concejo Deliberante de Puerto Santa Cruz (Santa Cruz)
hcdpuertorico.gob.ar,local,Concejo Deliberante de Puerto Rico (Misiones)
hcdsancayetano.gob.ar,local,Concejo Deliberante de San Cayetano (Buenos Aires)
hcdvictorica.gob.ar,local,Concejo Deliberante de Victorica (La Pampa)
hcdvlopez.gob.ar,local,Concejo Deliberante de Vicente López (Buenos Aires)
hipolitoyrigoyen.gob.ar,local,Municipalidad de Hipólito Yrigoyen
hospitalsantojanni.gob.ar,central-1,Hospital General de Agudos Donación Francisco Santojanni (CABA)
iasep.gob.ar,central-1,Instituto de Asistencia Social para Empleados Públicos (Formosa)
infuetur.gob.ar,central-1,Instituto Fueguino de Turismo (Tierra del Fuego)
insssep.gob.ar,central-1,Instituto de Seguridad Social Seguros y Préstamos (Chaco)
iosper.gob.ar,central-1,Instituto de Obra Social de la Provincia de Entre Ríos
ischigualasto.gob.ar,central-1,Parque Provincial Ischigualasto (San Juan)
issn.gob.ar,central-1,Instituto de Seguridad Social del Neuquén
issys.gob.ar,central-1,Instituto de Seguridad Social y Seguros (Chubut)
jujuy.gob.ar,central-1,Provincia de Jujuy
jusbaires.gob.ar,central-1,Poder Judicial de la Ciudad Autónoma de Buenos Aires
jusrionegro.gob.ar,central-1,Poder Judicial de Río Negro
jussantacruz.gob.ar,central-1,Poder Judicial de Santa Cruz
justiciachaco.gob.ar,central-1,Poder Judicial del Chaco
justiciacordoba.gob.ar,central-1,Poder Judicial de Córdoba
justiciajujuy.gob.ar,central-1,Poder Judicial de Jujuy
justicialapampa.gob.ar,central-1,Poder Judicial de La Pampa
justicialarioja.gob.ar,central-1,Poder Judicial de La Rioja
lacautiva.gob.ar,local,Municipalidad de La Cautiva (Córdoba)
lacumbre.gob.ar,local,Municipalidad de La Cumbre (Córdoba)
lafrancia.gob.ar,local,Municipalidad de La Francia (Córdoba)
lagranja.gob.ar,local,Municipalidad de La Granja (Córdoba)
lamendieta.gob.ar,local,Municipalidad de La Mendieta (Jujuy)
lanus.gob.ar,local,Municipalidad de Lanus (Buenos Aires)
lapampa.gob.ar,central-1,Provincia de La Pampa
lapaz.gob.ar,local,Municipalidad de La Paz
laplata.gob.ar,local,Municipalidad de La Plata (Buenos Aires)
lapuertaambato.gob.ar,local,Municipalidad de La Puerta - Ambato (Catamarca)
laquiaca.gob.ar,local,Municipalidad de La Quiaca (Jujuy)
larioja.gob.ar,central-1,Provincia de La Rioja
lasgrutasturismo.gob.ar,local,Turismo de Las Grutas - San Antonio Oeste (Río Negro)
lastermasderiohondo.gob.ar,local,Municipalidad de Las Termas de Río Hondo (Santiago del Estero)
lavalle.gob.ar,local,Municipalidad de Lavalle
lavallemendoza.gob.ar,local,Municipalidad de Lavalle (Mendoza)
legiscba.gob.ar,central-1,Legislatura de la Provincia de Córdoba
legislaturadetucuman.gob.ar,central-1,Legislatura de Tucumán
legislaturaformosa.gob.ar,central-1,Legislatura de Formosa
legislaturaneuquen.gob.ar,central-1,Legislatura de la Provincia del Neuquén
legislaturasde.gob.ar,central-1,Legislatura de Santiago del Estero
legisrn.gob.ar,central-1,Legislatura de Río Negro
legnqn.gob.ar,central-1,Legislatura de la Provincia del Neuquén
lincoln.gob.ar,local,Municipalidad de Lincoln (Buenos Aires)
loteriaderionegro.gob.ar,central-1,Lotería de Río Negro
loteriadesantacruz.gob.ar,central-1,Lotería de Santa Cruz
macia.gob.ar,local,Municipalidad de Maciá (Entre Ríos)
mardelplata.gob.ar,local,Municipalidad de General Pueyrredon - Mar del Plata
marull.gob.ar,local,Municipalidad de Marull (Córdoba)
mendoza.gob.ar,central-1,Provincia de Mendoza
mercedescorrientes.gob.ar,local,Municipalidad de Mercedes (Corrientes)
merlo.gob.ar,local,Municipalidad de Merlo
mibicitubici.gob.ar,local,Mi Bici Tu Bici - Municipalidad de Rosario (Santa Fe)
minedujujuy.gob.ar,central-1,Ministerio de Educación de Jujuy
misiones.gob.ar,central-1,Provincia de Misiones
montecaseros.gob.ar,local,Municipalidad de Monte Caseros (Corrientes)
montehermoso.gob.ar,local,Municipalidad de Monte Hermoso (Buenos Aires)
montemaiz.gob.ar,local,Municipalidad de Monte Maíz (Córdoba)
montesdeoca.gob.ar,local,Comuna de Montes de Oca (Santa Fe)
moreno.gob.ar,local,Municipalidad de Moreno (Buenos Aires)
moron.gob.ar,local,Municipalidad de Morón (Buenos Aires)
mosconi.gob.ar,local,Municipalidad de General Mosconi (Salta)
mplibres.gob.ar,local,Municipalidad de Paso de los Libres (Corrientes)
msalsgo.gob.ar,central-1,Ministerio de Salud de Santiago del Estero
munsenillosa.gob.ar,local,Municipalidad de Senillosa (Neuquén)
museobrigadierlopez.gob.ar,central-1,Museo Histórico Provincial Brigadier Estanislao López (Santa Fe)
museomarc.gob.ar,central-1,Museo Histórico Provincial Dr. Julio Marc (Santa Fe)
museorosagalisteo.gob.ar,central-1,Museo Provincial de Bellas Artes Rosa Galisteo de Rodríguez (Santa Fe)
neuquen.gob.ar,central-1,Provincia del Neuquén
noetinger.gob.ar,local,Municipalidad de Noetinger (Córdoba)
nono.gob.ar,local,Municipalidad de Nono (Córdoba)
nonoturismo.gob.ar,local,Turismo de Nono (Córdoba)
oncativo.gob.ar,local,Municipalidad de Oncativo (Córdoba)
oroverde.gob.ar,local,Municipalidad de Oro Verde (Entre Ríos)
pasodeloslibres.gob.ar,local,Municipalidad de Paso de los Libres (Corrientes)
patrimoniosde.gob.ar,central-1,Patrimonio Cultural de Santiago del Estero
pehuajo.gob.ar,local,Municipalidad de Pehuajó (Buenos Aires)
pinamar.gob.ar,local,Municipalidad de Pinamar (Buenos Aires)
pinedo.gob.ar,local,Municipalidad de General Pinedo (Chaco)
pocito.gob.ar,local,Municipalidad de Pocito (San Juan)
policialp.gob.ar,central-1,Policía de La Pampa
policiamisiones.gob.ar,central-1,Policía de Misiones
portalandresito.gob.ar,local,Municipalidad de Comandante Andresito (Misiones)
potrerodelosfunes.gob.ar,local,Municipalidad de Potrero de los Funes (San Luis)
produccionrosario.gob.ar,local,Producción - Municipalidad de Rosario (Santa Fe)
puan.gob.ar,local,Municipalidad de Puan (Buenos Aires)
puertolibertad.gob.ar,local,Municipalidad de Puerto Libertad (Misiones)
pujato.gob.ar,local,Comuna de Pujato (Santa Fe)
quemuquemu.gob.ar,local,Municipalidad de Quemú Quemú (La Pampa)
quilmes.gob.ar,local,Municipalidad de Quilmes (Buenos Aires)
rafaela.gob.ar,local,Municipalidad de Rafaela (Santa Fe)
rentascordoba.gob.ar,central-1,Rentas Córdoba - Dirección General de Rentas (Córdoba)
rentasjujuy.gob.ar,central-1,Dirección Provincial de Rentas de Jujuy
rentasjujuyonline.gob.ar,central-1,Dirección Provincial de Rentas de Jujuy (servicios en línea)
resistencia.gob.ar,local,Municipalidad de Resistencia (Chaco)
riogrande.gob.ar,local,Municipalidad de Río Grande (Tierra del Fuego)
rionegro.gob.ar,central-1,Provincia de Río Negro
rosario.gob.ar,local,Municipalidad de Rosario (Santa Fe)
rosariomasjoven.gob.ar,local,Rosario Más Joven - Municipalidad de Rosario (Santa Fe)
rosarionoticias.gob.ar,local,Noticias - Municipalidad de Rosario (Santa Fe)
salta.gob.ar,central-1,Provincia de Salta
saludmentalragone.gob.ar,central-1,Hospital de Salud Mental Dr. Miguel Ragone (Salta)
saludnqn.gob.ar,central-1,Ministerio de Salud de la Provincia del Neuquén
sampacho.gob.ar,local,Municipalidad de Sampacho (Córdoba)
sanisidro.gob.ar,local,Municipalidad de San Isidro (Buenos Aires)
sanjorge.gob.ar,local,Municipalidad de San Jorge (Santa Fe)
sanjuan.gob.ar,central-1,Provincia de San Juan
sanluis.gob.ar,central-1,Provincia de San Luis
sanmartinmza.gob.ar,local,Municipalidad de General San Martín (Mendoza)
sanpedrodejujuy.gob.ar,local,Municipalidad de San Pedro de Jujuy
sansalvadordejujuy.gob.ar,local,Municipalidad de San Salvador de Jujuy
sansalvadorer.gob.ar,local,Municipalidad de San Salvador (Entre Ríos)
santacruz.gob.ar,central-1,Provincia de Santa Cruz
santacruzpatagonia.gob.ar,central-1,Portal turístico de la Provincia de Santa Cruz
santafe.gob.ar,central-1,Provincia de Santa Fe
santafelavieja.gob.ar,central-1,Parque Arqueológico Santa Fe La Vieja (Santa Fe)
santarosa.gob.ar,local,Municipalidad de Santa Rosa (La Pampa)
santotome.gob.ar,local,Municipalidad de Santo Tomé
sde.gob.ar,central-1,Provincia de Santiago del Estero
senadodecatamarca.gob.ar,central-1,Senado de Catamarca
sisanjuan.gob.ar,central-1,Portal oficial del Gobierno de San Juan (Si San Juan)
tancacha.gob.ar,local,Municipalidad de Tancacha (Córdoba)
tanti.gob.ar,local,Municipalidad de Tanti (Córdoba)
tclarioja.gob.ar,central-1,Tribunal de Cuentas de La Rioja
tcmriogrande.gob.ar,local,Tribunal de Cuentas Municipal de Río Grande (Tierra del Fuego)
tcpsantafe.gob.ar,central-1,Tribunal de Cuentas de la Provincia de Santa Fe
tcptdf.gob.ar,central-1,Tribunal de Cuentas de la Provincia de Tierra del Fuego
teodelina.gob.ar,local,Comuna de Teodelina (Santa Fe)
terminalrosario.gob.ar,local,Terminal de Ómnibus de Rosario (Santa Fe)
tierradelfuego.gob.ar,central-1,Provincia de Tierra del Fuego Antártida e Islas del Atlántico Sur
tigre.gob.ar,local,Municipalidad de Tigre (Buenos Aires)
toay.gob.ar,local,Municipalidad de Toay (La Pampa)
tornquist.gob.ar,local,Municipalidad de Tornquist (Buenos Aires)
tortugas.gob.ar,local,Comuna de Tortugas (Santa Fe)
tramitescorrientes.gob.ar,central-1,Portal de trámites del Gobierno de Corrientes
trevelin.gob.ar,local,Municipalidad de Trevelin (Chubut)
tribcuentasmendoza.gob.ar,central-1,Tribunal de Cuentas de Mendoza
tucuman.gob.ar,central-1,Provincia de Tucumán
turismocatamarca.gob.ar,central-1,Turismo de la Provincia de Catamarca
tvrionegrina.gob.ar,central-1,Radio y Televisión Río Negro
unquillo.gob.ar,local,Municipalidad de Unquillo (Córdoba)
ushuaia.gob.ar,local,Municipalidad de Ushuaia (Tierra del Fuego)
vicentelopez.gob.ar,local,Municipalidad de Vicente Lopez (Buenos Aires)
victorica.gob.ar,local,Municipalidad de Victorica (La Pampa)
viedma.gob.ar,local,Municipalidad de Viedma (Río Negro)
villaberthet.gob.ar,local,Municipalidad de Villa Berthet (Chaco)
villamaria.gob.ar,local,Municipalidad de Villa María (Córdoba)
villapehuenia.gob.ar,local,Municipalidad de Villa Pehuenia (Neuquén)
villatrinidad.gob.ar,local,Comuna de Villa Trinidad (Santa Fe)
viviendacatamarca.gob.ar,central-1,Instituto Provincial de la Vivienda (Catamarca)
xn--caadadegomez-bhb.gob.ar,local,Municipalidad de Cañada de Gómez (Santa Fe)
xn--cauelas-5za.gob.ar,local,Municipalidad de Cañuelas (Buenos Aires)
zapala.gob.ar,local,Municipalidad de Zapala (Neuquén)
