domain,name
jsxzhrss.gov.cn,Xuzhou Human Resources and Social Security (Jiangsu)
jsychrss.gov.cn,Yancheng Human Resources and Social Security (Jiangsu)
jzgabmfw.gov.cn,Jinzhong public security services (Shanxi)
kazuo.gov.cn,Harqin Left Wing (Kazuo) county (Liaoning)
km.gov.cn,Kunming city (Yunnan)
ks.gov.cn,Kunshan city (Jiangsu)
kswjw.gov.cn,Kunshan Health and Family Planning Commission
leizhou.gov.cn,Leizhou city (Guangdong)
lfgabmfw.gov.cn,Linfen public security services (Shanxi)
lg.gov.cn,Longgang district (Shenzhen)
liangjiang.gov.cn,Liangjiang New Area (Chongqing)
lianhu.gov.cn,Lianhu district (Xi'an)
lintao.gov.cn,Lintao county (Gansu)
liuzhou.gov.cn,Liuzhou city (Guangxi)
llgabmfw.gov.cn,Lvliang public security services (Shanxi)
longmen.gov.cn,Longmen county (Huizhou)
longwan.gov.cn,Longwan district (Wenzhou)
lsrenkou.gov.cn,Liangshan population and family planning (Sichuan)
luan.gov.cn,Lu'an city (Anhui)
luannan.gov.cn,Luannan county (Hebei)
lucheng.gov.cn,Lucheng district (Wenzhou)
lueyang.gov.cn,Lueyang county (Shaanxi)
lujiazui.gov.cn,Lujiazui area - Pudong (Shanghai)
luohu.gov.cn,Luohu district (Shenzhen)
majiang.gov.cn,Majiang county (Guizhou)
maoming.gov.cn,Maoming city (Guangdong)
mas.gov.cn,Ma'anshan city (Anhui)
masgjj.gov.cn,Ma'anshan Housing Provident Fund
meilan.gov.cn,Meilan district (Haikou)
meizhou.gov.cn,Meizhou city (Guangdong)
my.gov.cn,Mianyang city (Sichuan)
myedu.gov.cn,Mianyang Education Bureau
nanhai.gov.cn,Nanhai district (Foshan)
nanhui.gov.cn,Nanhui former district (Shanghai)
nbedu.gov.cn,Ningbo Education Bureau
nbfet.gov.cn,Ningbo Foreign Trade and Economic Cooperation Bureau
nbhrss.gov.cn,Ningbo Human Resources and Social Security Bureau
nbjt.gov.cn,Ningbo Transportation Commission
nbsti.gov.cn,Ningbo Science and Technology Bureau
ncedu.gov.cn,Nanchang Education Bureau
ningbo.gov.cn,Ningbo city (Zhejiang)
njfcj.gov.cn,Nanjing Real Estate Bureau
njga.gov.cn,Nanjing Public Security Bureau
nndsj.gov.cn,Nanning Local Taxation Bureau
nngaj.gov.cn,Nanning Public Security Bureau
pdagri.gov.cn,Pudong agriculture (Shanghai)
pingtan.gov.cn,Pingtan comprehensive experimental zone (Fujian)
pudong.gov.cn,Pudong New Area (Shanghai)
putian.gov.cn,Putian city (Fujian)
qdda.gov.cn,Qingdao Archives
qdds.gov.cn,Qingdao Local Taxation Bureau
qdjt.gov.cn,Qingdao Transportation Commission
qianjiang.gov.cn,Qianjiang city (Hubei)
qiannancourt.gov.cn,Qiannan prefecture courts (Guizhou)
qingdao.gov.cn,Qingdao city (Shandong)
qingdaoshibei.gov.cn,Shibei district (Qingdao)
qinzhou.gov.cn,Qinzhou city (Guangxi)
qzga.gov.cn,Quanzhou Public Security Bureau
qzsfj.gov.cn,Quanzhou Justice Bureau
rongshui.gov.cn,Rongshui county (Guangxi)
ruian.gov.cn,Rui'an city (Zhejiang)
sanya.gov.cn,Sanya city (Hainan)
sanyatour.gov.cn,Sanya Tourism
sctianfu.gov.cn,Tianfu New Area (Sichuan)
sg.gov.cn,Shaoguan city (Guangdong)
sgsfda.gov.cn,Shaoguan Food and Drug Administration
shantou.gov.cn,Shantou city (Guangdong)
shenzhen.gov.cn,Shenzhen city (Guangdong)
shftz.gov.cn,Shanghai Free Trade Zone (variant)
shiguai.gov.cn,Shiguai district (Baotou)
shmh.gov.cn,Minhang district (Shanghai)
shouguang.gov.cn,Shouguang city (Shandong)
shpt.gov.cn,Putuo district (Shanghai)
shqp.gov.cn,Qingpu district (Shanghai)
shunde.gov.cn,Shunde district (Foshan)
shyp.gov.cn,Yangpu district (Shanghai)
shz.gov.cn,Shihezi city (Xinjiang)
sihui.gov.cn,Sihui city (Guangdong)
sipa.gov.cn,Suzhou Industrial Park
sipac.gov.cn,Suzhou Industrial Park Administrative Committee
sjzfgw.gov.cn,Shijiazhuang Development and Reform Commission
sm.gov.cn,Sanming city (Fujian)
snxunyi.gov.cn,Xunyi county (Shaanxi)
songjiang.gov.cn,Songjiang district (Shanghai)
suzhou.gov.cn,Suzhou city (Jiangsu)
sx.gov.cn,Shaoxing city (Zhejiang)
sz.gov.cn,Shenzhen city (Guangdong)
sz12333.gov.cn,Shenzhen 12333 social security hotline
szaic.gov.cn,Shenzhen Administration for Industry and Commerce
szds.gov.cn,Shenzhen Local Taxation Bureau
szft.gov.cn,Futian district (Shenzhen)
szga.gov.cn,Shenzhen Public Security Bureau
szgabmfw.gov.cn,Shuozhou public security services (Shanxi)
szgjj.gov.cn,Shenzhen Housing Provident Fund
szlh.gov.cn,Longhua district (Shenzhen)
szlhfy.gov.cn,Longhua district court (Shenzhen)
szltax.gov.cn,Shenzhen Local Taxation
szmb.gov.cn,Shenzhen Meteorological Bureau
sznet110.gov.cn,Shenzhen internet police 110
szns.gov.cn,Nanshan district (Shenzhen)
szrd.gov.cn,Shenzhen Municipal People's Congress
szscjg.gov.cn,Shenzhen Market Regulation
szsi.gov.cn,Shenzhen Social Insurance
szsti.gov.cn,Shenzhen Science and Technology Innovation Commission
taicang.gov.cn,Taicang city (Jiangsu)
taiyuan.gov.cn,Taiyuan city (Shanxi)
taizhou.gov.cn,Taizhou city
teda.gov.cn,Tianjin Economic-Technological Development Area (TEDA)
tjftz.gov.cn,Tianjin Free Trade Zone
tongchuanhrss.gov.cn,Tongchuan Human Resources and Social Security (Shaanxi)
ts.gov.cn,Tangshan city (Hebei)
tygabmfw.gov.cn,Taiyuan public security services (Shanxi)
tz110.gov.cn,Taizhou 110 public security
tzxzsp.gov.cn,Taizhou administrative approval
wenzhou.gov.cn,Wenzhou city (Zhejiang)
whcrj.gov.cn,Wuhan Exit-Entry Administration
whfpb.gov.cn,Wuhan Family Planning Bureau
whga.gov.cn,Wuhan Public Security Bureau
whhealth.gov.cn,Wuhan Health Bureau
whws.gov.cn,Wuhan Health Bureau (variant)
wlmqedu.gov.cn,Urumqi Education Bureau (Xinjiang)
wuhan.gov.cn,Wuhan city (Hubei)
wuling.gov.cn,Wuling district (Changde)
wuxi.gov.cn,Wuxi city (Jiangsu)
wxhealth.gov.cn,Wuxi Health Bureau
wxhrss.gov.cn,Wuxi Human Resources and Social Security Bureau
wxxzfwzx.gov.cn,Wuxi Administrative Service Center
wzdj.gov.cn,Wenzhou party building
wzga.gov.cn,Wenzhou Public Security Bureau
wzhrss.gov.cn,Wenzhou Human Resources and Social Security Bureau
xa-police.gov.cn,Xi'an Public Security Bureau
xads.gov.cn,Xi'an Local Taxation Bureau
xihu.gov.cn,Xihu district (Hangzhou)
xiongan.gov.cn,Xiong'an New Area (Hebei)
xm-l-tax.gov.cn,Xiamen Local Taxation
xm.gov.cn,Xiamen city (Fujian)
xmhrss.gov.cn,Xiamen Human Resources and Social Security Bureau
xmta.gov.cn,Xiamen Tourism Administration
xmtravel.gov.cn,Xiamen tourism portal
xuecheng.gov.cn,Xuecheng district (Zaozhuang)
xuhui.gov.cn,Xuhui district (Shanghai)
yaan.gov.cn,Ya'an city (Sichuan)
yangzhou.gov.cn,Yangzhou city (Jiangsu)
ycgabmfw.gov.cn,Yuncheng public security services (Shanxi)
yiyang.gov.cn,Yiyang city (Hunan)
yizheng.gov.cn,Yizheng city (Jiangsu)
yqgabmfw.gov.cn,Yangquan public security services (Shanxi)
ytga.gov.cn,Yantai Public Security Bureau
yuanan.gov.cn,Yuan'an county (Hubei)
yueqing.gov.cn,Yueqing city (Zhejiang)
yuhang.gov.cn,Yuhang district (Hangzhou)
yunyang.gov.cn,Yunyang county (Chongqing)
yw.gov.cn,Yiwu city (Zhejiang)
zgc.gov.cn,Zhongguancun Science Park (Beijing)
zh.gov.cn,Zhuhai city (Guangdong)
zh12345.gov.cn,Zhuhai 12345 hotline
zhanjiang.gov.cn,Zhanjiang city (Guangdong)
zhengzhou.gov.cn,Zhengzhou city (Henan)
zhltax.gov.cn,Zhuhai Local Taxation
zhscjg.gov.cn,Zhuhai Market Regulation
zhuhai.gov.cn,Zhuhai city (Guangdong)
zjgdj.gov.cn,Zhangjiagang party building (Jiangsu)
zjkwmw.gov.cn,Zhangjiakou civilization network (Hebei)
zqsi.gov.cn,Zhaoqing Social Insurance
zs.gov.cn,Zhongshan city (Guangdong)
zunyiyj.gov.cn,Zunyi Emergency Management (Guizhou)
